,capacity,capacity,capacity,capacity,capacity,occupancy,occupancy,occupancy,occupancy,occupancy,vacancy,vacancy,vacancy,vacancy,vacancy
sector,Co-ed,Families,Men,Women,Youth,Co-ed,Families,Men,Women,Youth,Co-ed,Families,Men,Women,Youth
Date,,,,,,,,,,,,,,,
2017-01-01,582,1150,1706,697,518,530,1030,1595,641,499,52,120,111,56,19
2017-01-02,582,1156,1751,697,518,458,1029,1655,661,496,124,127,96,36,22
2017-01-03,582,1156,1780,697,518,457,1118,1664,651,496,125,38,116,46,22
2017-01-04,612,1331,1792,685,518,559,1204,1678,661,498,53,127,114,24,20
2017-01-05,622,1382,1792,697,518,488,1362,1697,677,505,134,20,95,20,13
2017-01-06,622,1442,1775,697,518,483,1467,1679,679,495,139,-25,96,18,23
2017-01-07,626,1582,1751,707,518,559,1546,1645,692,497,67,36,106,15,21
2017-01-08,626,1816,1740,697,518,485,1591,1638,686,511,141,225,102,11,7
2017-01-09,626,1711,1729,697,518,470,1679,1659,684,502,156,32,70,13,16
2017-01-10,594,1821,1739,696,518,546,1751,1690,677,512,48,70,49,19,6
2017-01-11,586,1941,1751,727,518,478,1873,1666,717,510,108,68,85,10,8
2017-01-12,584,1927,1814,731,518,550,1922,1685,717,491,34,5,129,14,27
2017-01-13,582,1156,1746,697,518,545,1062,1626,670,507,37,94,120,27,11
2017-01-14,582,1156,1746,697,518,544,1063,1642,662,500,38,93,104,35,18
2017-01-15,582,1156,1746,697,518,541,1064,1638,667,504,41,92,108,30,14
2017-01-16,582,1156,1746,697,518,459,1068,1639,667,502,123,88,107,30,16
2017-01-17,582,1156,1746,697,518,461,1065,1645,666,501,121,91,101,31,17
2017-01-18,582,1156,1746,697,518,458,1076,1660,669,501,124,80,86,28,17
2017-01-19,582,1156,1746,697,518,459,1078,1656,665,501,123,78,90,32,17
2017-01-20,582,1156,1746,697,518,543,1067,1666,662,494,39,89,80,35,24
2017-01-21,582,1156,1746,697,518,544,1064,1649,660,499,38,92,97,37,19
2017-01-22,582,1156,1746,697,518,539,1066,1668,662,489,43,90,78,35,29
2017-01-23,582,1156,1746,697,518,458,1068,1674,660,494,124,88,72,37,24
2017-01-24,582,1156,1746,697,518,459,1071,1674,661,496,123,85,72,36,22
2017-01-25,582,1156,1756,697,518,457,1067,1671,668,501,125,89,85,29,17
2017-01-26,582,1156,1756,697,518,460,1071,1666,656,496,122,85,90,41,22
2017-01-27,582,1156,1756,697,518,544,1071,1639,656,492,38,85,117,41,26
2017-01-28,582,1156,1756,697,518,544,1073,1645,662,492,38,83,111,35,26
2017-01-29,582,1156,1756,697,518,539,1073,1654,663,495,43,83,102,34,23
2017-01-30,582,1156,1761,697,518,459,1063,1669,662,497,123,93,92,35,21
2017-01-31,582,1156,1746,697,518,462,1062,1642,663,498,120,94,104,34,20
2017-02-01,582,1150,1706,697,518,521,1033,1599,635,501,61,117,107,62,17
2017-02-02,582,1156,1751,697,518,456,1028,1659,665,499,126,128,92,32,19
2017-02-03,582,1156,1780,697,518,453,1120,1663,646,497,129,36,117,51,21
2017-02-04,612,1331,1792,685,518,554,1198,1647,664,495,58,133,145,21,23
2017-02-05,622,1382,1792,697,518,490,1354,1697,680,505,132,28,95,17,13
2017-02-06,622,1442,1775,697,518,483,1456,1674,676,499,139,-14,101,21,19
2017-02-07,626,1582,1751,707,518,571,1525,1651,693,504,55,57,100,14,14
2017-02-08,626,1816,1739,697,518,479,1605,1617,684,510,147,211,122,13,8
2017-02-09,626,1711,1729,697,518,542,1663,1657,687,504,84,48,72,10,14
2017-02-10,594,1821,1749,701,518,474,1742,1699,686,511,120,79,50,15,7
2017-02-11,586,1941,1751,727,518,479,1899,1664,719,510,107,42,87,8,8
2017-02-12,586,1927,1814,731,518,557,1907,1660,718,493,29,20,154,13,25
2017-02-13,582,1156,1772,697,518,457,1093,1694,662,493,125,63,78,35,25
2017-02-14,582,1156,1772,697,518,456,1104,1686,661,494,126,52,86,36,24
2017-02-15,582,1156,1772,697,518,460,1095,1689,656,503,122,61,83,41,15
2017-02-16,582,1156,1772,697,518,460,1103,1683,659,498,122,53,89,38,20
2017-02-17,582,1156,1772,697,518,541,1106,1673,654,503,41,50,99,43,15
2017-02-18,582,1156,1772,697,518,541,1110,1659,657,503,41,46,113,40,15
2017-02-19,582,1156,1772,697,518,534,1110,1657,655,502,48,46,115,42,16
2017-02-20,582,1156,1772,697,518,458,1119,1675,662,503,124,37,97,35,15
2017-02-21,582,1156,1778,697,518,459,1112,1677,663,504,123,44,101,34,14
2017-02-22,582,1156,1778,697,518,457,1120,1674,669,505,125,36,104,28,13
2017-02-23,582,1156,1784,697,518,459,1135,1659,672,504,123,21,125,25,14
2017-02-24,582,1156,1784,697,518,529,1156,1661,669,504,53,0,123,28,14
2017-02-25,582,1156,1784,697,518,529,1153,1648,660,507,53,3,136,37,11
2017-02-26,582,1156,1784,697,518,526,1156,1651,670,504,56,0,133,27,14
2017-02-27,582,1156,1774,697,518,441,1155,1673,671,504,141,1,101,26,14
2017-02-28,582,1156,1774,697,518,443,1166,1676,664,495,139,-10,98,33,23
2017-03-01,582,1150,1706,697,518,518,1041,1598,642,497,64,109,108,55,21
2017-03-02,582,1156,1756,697,518,537,1035,1674,667,499,45,121,82,30,19
2017-03-03,582,1156,1780,697,518,542,1121,1679,650,497,40,35,101,47,21
2017-03-04,612,1331,1792,685,518,545,1196,1659,665,503,67,135,133,20,15
2017-03-05,622,1382,1792,697,518,492,1355,1697,680,507,130,27,95,17,11
2017-03-06,622,1442,1775,697,518,559,1452,1672,670,490,63,-10,103,27,28
2017-03-07,626,1582,1751,707,518,488,1517,1665,691,498,138,65,86,16,20
2017-03-08,626,1711,1739,697,518,487,1629,1629,688,508,139,82,110,9,10
2017-03-09,626,1711,1729,697,518,551,1663,1663,689,504,75,48,66,8,14
2017-03-10,594,1821,1749,706,518,476,1762,1693,690,511,118,59,56,16,7
2017-03-11,586,1941,1751,727,518,559,1898,1681,717,505,27,43,70,10,13
2017-03-12,586,1927,1814,731,518,557,1910,1685,718,502,29,17,129,13,16
2017-03-13,582,1156,1780,685,518,457,1155,1689,676,498,125,1,91,9,20
2017-03-14,582,1156,1780,685,518,458,1161,1714,676,494,124,-5,66,9,24
2017-03-15,582,1156,1780,685,518,461,1154,1719,676,502,121,2,61,9,16
2017-03-16,582,1156,1780,685,518,461,1161,1690,668,496,121,-5,90,17,22
2017-03-17,582,1156,1780,685,518,537,1180,1717,671,500,45,-24,63,14,18
2017-03-18,582,1156,1780,685,518,542,1166,1703,674,493,40,-10,77,11,25
2017-03-19,582,1156,1780,685,518,540,1174,1683,665,489,42,-18,97,20,29
2017-03-20,582,1156,1780,685,518,455,1183,1702,672,491,127,-27,78,13,27
2017-03-21,582,1156,1780,685,518,458,1186,1715,671,496,124,-30,65,14,22
2017-03-22,582,1156,1780,685,518,459,1195,1712,668,493,123,-39,68,17,25
2017-03-23,582,1156,1780,685,518,459,1197,1700,666,499,123,-41,80,19,19
2017-03-24,602,1236,1780,685,518,545,1212,1701,667,500,57,24,79,18,18
2017-03-25,602,1236,1780,685,518,542,1215,1695,664,500,60,21,85,21,18
2017-03-26,602,1236,1780,685,518,541,1221,1691,665,497,61,15,89,20,21
2017-03-27,602,1236,1780,685,518,458,1238,1695,667,490,144,-2,85,18,28
2017-03-28,602,1236,1780,685,518,463,1240,1691,669,494,139,-4,89,16,24
2017-03-29,602,1236,1780,685,518,468,1244,1683,662,496,134,-8,97,23,22
2017-03-30,602,1236,1780,685,518,468,1259,1706,663,501,134,-23,74,22,17
2017-03-31,612,1331,1792,685,518,557,1250,1670,662,503,55,81,122,23,15
2017-04-01,582,1150,1706,697,518,518,1035,1622,645,499,64,115,84,52,19
2017-04-02,582,1156,1756,697,518,543,1044,1666,664,492,39,112,90,33,26
2017-04-03,582,1156,1780,697,518,546,1123,1686,658,497,36,33,94,39,21
2017-04-04,612,1331,1792,685,518,473,1199,1675,664,507,139,132,117,21,11
2017-04-05,622,1382,1788,697,518,488,1350,1705,680,507,134,32,83,17,11
2017-04-06,622,1442,1775,697,518,570,1444,1676,677,493,52,-2,99,20,25
2017-04-07,626,1582,1751,707,518,484,1504,1643,694,500,142,78,108,13,18
2017-04-08,626,1711,1739,697,518,487,1627,1657,690,506,139,84,82,7,12
2017-04-09,626,1711,1729,697,518,476,1661,1670,684,507,150,50,59,13,11
2017-04-10,586,1821,1749,711,518,471,1783,1683,694,502,115,38,66,17,16
2017-04-11,586,1941,1751,727,518,560,1888,1690,719,511,26,53,61,8,7
2017-04-12,586,1927,1814,731,518,479,1914,1671,722,499,107,13,143,9,19
2017-04-13,612,1331,1792,685,518,487,1279,1694,670,504,125,52,98,15,14
2017-04-14,612,1331,1792,685,518,572,1283,1705,667,504,40,48,87,18,14
2017-04-15,612,1331,1792,685,518,572,1285,1706,667,501,40,46,86,18,17
2017-04-16,612,1331,1792,685,518,573,1291,1703,666,503,39,40,89,19,15
2017-04-17,612,1331,1792,685,518,487,1283,1733,667,506,125,48,59,18,12
2017-04-18,612,1331,1792,685,518,488,1296,1702,665,504,124,35,90,20,14
2017-04-19,622,1367,1792,685,518,487,1323,1705,671,499,135,44,87,14,19
2017-04-20,622,1367,1792,685,518,484,1328,1712,671,506,138,39,80,14,12
2017-04-21,622,1367,1792,697,518,571,1328,1714,671,511,51,39,78,26,7
2017-04-22,622,1367,1792,697,518,568,1335,1700,675,508,54,32,92,22,10
2017-04-23,622,1367,1792,697,518,567,1347,1709,676,498,55,20,83,21,20
2017-04-24,622,1367,1792,697,518,487,1374,1726,678,500,135,-7,66,19,18
2017-04-25,622,1382,1792,697,518,490,1382,1717,679,503,132,0,75,18,15
2017-04-26,622,1382,1792,697,518,490,1375,1700,674,504,132,7,92,23,14
2017-04-27,622,1382,1792,697,518,487,1383,1691,676,505,135,-1,101,21,13
2017-04-28,622,1382,1792,697,518,568,1383,1696,676,509,54,-1,96,21,9
2017-04-29,622,1382,1792,697,518,574,1370,1687,683,507,48,12,105,14,11
2017-04-30,622,1382,1792,697,518,576,1374,1694,680,507,46,8,98,17,11
2017-05-01,582,1150,1706,697,518,520,1040,1621,646,501,62,110,85,51,17
2017-05-02,582,1156,1756,697,518,533,1043,1656,661,496,49,113,100,36,22
2017-05-03,582,1156,1780,697,518,540,1112,1666,659,500,42,44,114,38,18
2017-05-04,612,1331,1792,685,518,478,1192,1678,665,502,134,139,114,20,16
2017-05-05,622,1382,1788,697,518,574,1362,1709,681,501,48,20,79,16,17
2017-05-06,622,1582,1775,697,518,487,1441,1698,684,496,135,141,77,13,22
2017-05-07,626,1582,1751,707,518,484,1521,1638,693,500,142,61,113,14,18
2017-05-08,626,1711,1739,697,518,568,1640,1647,690,504,58,71,92,7,14
2017-05-09,626,1711,1729,697,518,472,1662,1658,687,504,154,49,71,10,14
2017-05-10,586,1821,1749,716,518,473,1800,1685,702,505,113,21,64,14,13
2017-05-11,586,1941,1751,727,518,559,1880,1684,720,511,27,61,67,7,7
2017-05-12,586,1927,1814,731,518,478,1909,1688,714,502,108,18,126,17,16
2017-05-13,622,1382,1788,697,518,573,1370,1688,685,505,49,12,100,12,13
2017-05-14,622,1382,1788,697,518,573,1368,1714,688,508,49,14,74,9,10
2017-05-15,622,1382,1788,697,518,492,1355,1720,680,506,130,27,68,17,12
2017-05-16,622,1382,1788,697,518,490,1376,1705,679,506,132,6,83,18,12
2017-05-17,622,1442,1788,697,518,488,1364,1715,677,499,134,78,73,20,19
2017-05-18,622,1442,1788,697,518,491,1383,1694,678,505,131,59,94,19,13
2017-05-19,622,1442,1788,697,518,572,1388,1702,676,507,50,54,86,21,11
2017-05-20,622,1442,1788,697,518,574,1404,1692,681,507,48,38,96,16,11
2017-05-21,622,1442,1788,697,518,573,1408,1687,678,510,49,34,101,19,8
2017-05-22,622,1442,1788,697,518,490,1412,1712,676,508,132,30,76,21,10
2017-05-23,622,1442,1788,697,518,490,1424,1706,678,506,132,18,82,19,12
2017-05-24,622,1442,1788,697,518,491,1430,1702,681,506,131,12,86,16,12
2017-05-25,622,1442,1778,697,518,489,1429,1720,681,503,133,13,58,16,15
2017-05-26,622,1442,1778,697,518,568,1465,1689,682,497,54,-23,89,15,21
2017-05-27,622,1442,1778,697,518,562,1465,1700,679,502,60,-23,78,18,16
2017-05-28,622,1442,1778,697,518,569,1457,1685,684,503,53,-15,93,13,15
2017-05-29,622,1442,1778,697,518,485,1468,1693,680,505,137,-26,85,17,13
2017-05-30,622,1442,1778,697,518,487,1472,1695,674,503,135,-30,83,23,15
2017-05-31,622,1442,1775,697,518,485,1476,1673,681,495,137,-34,102,16,23
2017-06-01,582,1150,1706,697,518,548,1034,1630,652,505,34,116,76,45,13
2017-06-02,582,1156,1761,697,518,455,1061,1653,659,496,127,95,108,38,22
2017-06-03,582,1156,1780,697,518,452,1130,1681,661,502,130,26,99,36,16
2017-06-04,612,1331,1792,685,518,484,1203,1701,657,510,128,128,91,28,8
2017-06-05,622,1382,1788,697,518,575,1358,1712,686,505,47,24,76,11,13
2017-06-06,622,1582,1775,697,518,483,1453,1696,688,492,139,129,79,9,26
2017-06-07,626,1582,1751,707,518,489,1527,1638,692,500,137,55,113,15,18
2017-06-08,626,1711,1739,697,518,567,1643,1628,690,503,59,68,111,7,15
2017-06-09,618,1711,1729,696,518,472,1674,1660,692,506,146,37,69,4,12
2017-06-10,586,1821,1751,726,518,554,1816,1673,701,506,32,5,78,25,12
2017-06-11,586,1941,1751,727,518,475,1870,1704,716,513,111,71,47,11,5
2017-06-12,586,1927,1814,731,518,483,1908,1699,713,502,103,19,115,18,16
2017-06-13,622,1582,1745,697,518,482,1471,1672,686,492,140,111,73,11,26
2017-06-14,622,1582,1745,697,518,483,1468,1694,688,498,139,114,51,9,20
2017-06-15,622,1582,1745,697,518,484,1501,1684,684,496,138,81,61,13,22
2017-06-16,622,1582,1745,697,518,485,1484,1681,681,501,137,98,64,16,17
2017-06-17,622,1582,1745,697,518,569,1493,1661,693,502,53,89,84,4,16
2017-06-18,622,1582,1745,697,518,570,1493,1659,689,495,52,89,86,8,23
2017-06-19,622,1582,1745,697,518,553,1491,1682,691,497,69,91,63,6,21
2017-06-20,622,1582,1739,697,518,551,1498,1685,693,504,71,84,54,4,14
2017-06-21,622,1582,1739,697,518,548,1511,1680,691,499,74,71,59,6,19
2017-06-22,626,1582,1739,697,518,543,1514,1683,687,505,83,68,56,10,13
2017-06-23,626,1582,1751,707,518,547,1527,1678,686,505,79,55,73,21,13
2017-06-24,626,1582,1751,707,518,577,1532,1668,686,507,49,50,83,21,11
2017-06-25,626,1582,1751,707,518,577,1524,1679,690,498,49,58,72,17,20
2017-06-26,626,1582,1751,707,518,493,1543,1691,690,500,133,39,60,17,18
2017-06-27,626,1582,1751,707,518,490,1550,1695,691,494,136,32,56,16,24
2017-06-28,626,1582,1751,707,518,488,1552,1697,692,498,138,30,54,15,20
2017-06-29,626,1582,1751,707,518,486,1544,1684,692,496,140,38,67,15,22
2017-06-30,626,1582,1751,707,518,488,1540,1644,693,501,138,42,107,14,17
2017-07-01,582,1150,1706,697,518,547,1039,1644,656,509,35,111,62,41,9
2017-07-02,582,1156,1766,697,518,453,1053,1681,652,493,129,103,85,45,25
2017-07-03,582,1156,1780,685,518,460,1142,1676,664,499,122,14,104,21,19
2017-07-04,612,1331,1792,685,518,571,1200,1682,666,507,41,131,110,19,11
2017-07-05,622,1382,1788,697,518,575,1356,1716,681,494,47,26,72,16,24
2017-07-06,622,1582,1775,697,518,485,1458,1704,691,496,137,124,71,6,22
2017-07-07,626,1582,1751,707,518,489,1531,1639,694,491,137,51,112,13,27
2017-07-08,626,1711,1739,697,518,481,1630,1653,684,505,145,81,86,13,13
2017-07-09,618,1711,1729,696,518,473,1684,1663,684,508,145,27,66,12,10
2017-07-10,586,1821,1751,726,518,561,1805,1684,698,502,25,16,67,28,16
2017-07-11,586,1941,1801,727,518,476,1893,1741,718,512,110,48,60,9,6
2017-07-12,586,1927,1814,731,518,480,1907,1698,715,505,106,20,116,16,13
2017-07-13,626,1582,1747,707,518,488,1532,1676,682,503,138,50,71,25,15
2017-07-14,626,1582,1747,707,518,487,1525,1667,691,499,139,57,80,16,19
2017-07-15,626,1582,1747,707,518,562,1529,1644,694,497,64,53,103,13,21
2017-07-16,626,1582,1747,707,518,574,1532,1656,690,498,52,50,91,17,20
2017-07-17,626,1582,1747,707,518,486,1534,1656,681,491,140,48,91,26,27
2017-07-18,626,1816,1744,707,518,485,1544,1657,685,497,141,272,87,22,21
2017-07-19,626,1816,1744,707,518,485,1542,1665,688,503,141,274,79,19,15
2017-07-20,626,1816,1744,707,518,485,1552,1663,687,498,141,264,81,20,20
2017-07-21,626,1816,1744,707,518,488,1568,1663,692,494,138,248,81,15,24
2017-07-22,626,1816,1744,707,518,571,1569,1655,688,494,55,247,89,19,24
2017-07-23,626,1816,1744,707,518,573,1561,1654,689,497,53,255,90,18,21
2017-07-24,626,1816,1753,707,518,486,1564,1672,684,492,140,252,81,23,26
2017-07-25,626,1816,1753,707,518,487,1588,1664,685,503,139,228,89,22,15
2017-07-26,626,1816,1750,707,518,488,1604,1655,689,505,138,212,95,18,13
2017-07-27,626,1816,1750,707,518,487,1618,1650,690,508,139,198,100,17,10
2017-07-28,626,1816,1750,707,518,488,1628,1659,683,508,138,188,91,24,10
2017-07-29,626,1816,1750,707,518,570,1621,1643,686,507,56,195,107,21,11
2017-07-30,626,1816,1750,707,518,569,1625,1633,684,502,57,191,117,23,16
2017-07-31,626,1816,1750,697,518,488,1612,1627,688,506,138,204,123,9,12
2017-08-01,582,1150,1706,697,518,547,1049,1608,656,509,35,101,98,41,9
2017-08-02,582,1156,1772,697,518,452,1067,1698,656,500,130,89,74,41,18
2017-08-03,582,1156,1780,685,518,461,1155,1678,663,501,121,1,102,22,17
2017-08-04,612,1331,1792,685,518,571,1203,1685,664,503,41,128,107,21,15
2017-08-05,622,1382,1788,697,518,489,1342,1720,685,500,133,40,68,12,18
2017-08-06,622,1582,1771,697,518,488,1462,1682,684,492,134,120,89,13,26
2017-08-07,626,1582,1751,707,518,566,1537,1625,690,496,60,45,126,17,22
2017-08-08,626,1711,1739,697,518,480,1631,1647,690,491,146,80,92,7,27
2017-08-09,618,1711,1729,696,518,474,1694,1659,684,504,144,17,70,12,14
2017-08-10,586,1821,1751,726,518,559,1803,1697,697,503,27,18,54,29,15
2017-08-11,586,1941,1814,727,518,476,1911,1726,715,512,110,30,88,12,6
2017-08-12,586,1927,1814,731,518,566,1908,1696,710,504,20,19,118,21,14
2017-08-13,626,1711,1729,697,518,565,1608,1656,688,500,61,103,73,9,18
2017-08-14,626,1711,1729,697,518,483,1636,1663,689,504,143,75,66,8,14
2017-08-15,626,1711,1729,697,518,482,1630,1660,693,507,144,81,69,4,11
2017-08-16,626,1711,1729,697,518,483,1633,1664,689,508,143,78,65,8,10
2017-08-17,626,1711,1729,697,518,478,1630,1664,691,506,148,81,65,6,12
2017-08-18,626,1711,1729,697,518,481,1641,1657,691,508,145,70,72,6,10
2017-08-19,626,1711,1729,697,518,562,1642,1656,689,504,64,69,73,8,14
2017-08-20,626,1711,1729,697,518,565,1651,1658,690,502,61,60,71,7,16
2017-08-21,626,1711,1729,697,518,481,1657,1658,689,504,145,54,71,8,14
2017-08-22,626,1711,1729,697,518,479,1666,1671,686,507,147,45,58,11,11
2017-08-23,626,1711,1729,697,518,481,1668,1674,687,504,145,43,55,10,14
2017-08-24,626,1711,1729,697,518,482,1679,1671,696,509,144,32,58,1,9
2017-08-25,626,1711,1729,697,518,483,1683,1655,685,506,143,28,74,12,12
2017-08-26,626,1711,1729,697,518,568,1683,1668,685,509,58,28,61,12,9
2017-08-27,626,1711,1729,697,518,563,1691,1652,685,501,63,20,77,12,17
2017-08-28,626,1711,1729,697,518,482,1677,1661,689,495,144,34,68,8,23
2017-08-29,626,1711,1729,697,518,483,1692,1655,684,494,143,19,74,13,24
2017-08-30,626,1711,1729,697,518,475,1706,1660,688,503,151,5,69,9,15
2017-08-31,626,1711,1729,697,518,479,1687,1647,691,504,147,24,82,6,14
2017-09-01,582,1150,1706,697,518,462,1040,1602,654,503,120,110,104,43,15
2017-09-02,582,1156,1772,697,518,453,1077,1696,655,501,129,79,76,42,17
2017-09-03,582,1156,1780,685,518,459,1152,1677,668,504,123,4,103,17,14
2017-09-04,612,1331,1792,685,518,569,1209,1665,663,501,43,122,127,22,17
2017-09-05,622,1382,1788,697,518,489,1339,1724,683,500,133,43,64,14,18
2017-09-06,622,1582,1745,697,518,485,1468,1684,686,491,137,114,61,11,27
2017-09-07,626,1582,1751,707,518,568,1529,1638,691,498,58,53,113,16,20
2017-09-08,626,1711,1739,697,518,479,1651,1652,688,502,147,60,87,9,16
2017-09-09,618,1711,1729,696,518,555,1695,1669,691,505,63,16,60,5,13
2017-09-10,586,1821,1751,726,518,477,1801,1702,704,503,109,20,49,22,15
2017-09-11,571,1941,1815,727,518,471,1919,1745,715,507,100,22,70,12,11
2017-09-12,586,1927,1814,731,518,564,1904,1710,711,501,22,23,104,20,17
2017-09-13,610,1711,1729,696,518,472,1722,1671,688,508,138,-11,58,8,10
2017-09-14,610,1711,1729,696,518,472,1718,1670,691,503,138,-7,59,5,15
2017-09-15,610,1711,1729,696,518,470,1720,1680,684,506,140,-9,49,12,12
2017-09-16,610,1711,1729,696,518,552,1721,1672,686,508,58,-10,57,10,10
2017-09-17,610,1711,1729,696,518,556,1723,1679,688,512,54,-12,50,8,6
2017-09-18,610,1711,1729,696,518,474,1735,1660,686,510,136,-24,69,10,8
2017-09-19,610,1711,1729,696,518,474,1727,1676,686,506,136,-16,53,10,12
2017-09-20,602,1711,1729,696,518,476,1733,1675,687,506,126,-22,54,9,12
2017-09-21,602,1791,1729,696,518,472,1738,1681,684,511,130,53,48,12,7
2017-09-22,602,1791,1739,696,518,475,1730,1683,688,511,127,61,56,8,7
2017-09-23,602,1791,1739,696,518,556,1729,1669,687,511,46,62,70,9,7
2017-09-24,602,1791,1739,696,518,553,1729,1681,687,511,49,62,58,9,7
2017-09-25,602,1791,1739,696,518,475,1732,1688,692,511,127,59,51,4,7
2017-09-26,602,1791,1739,696,518,475,1755,1675,690,512,127,36,64,6,6
2017-09-27,594,1791,1739,696,518,474,1772,1676,685,512,120,19,63,11,6
2017-09-28,594,1821,1739,696,518,474,1789,1692,683,513,120,32,47,13,5
